id,name,latitude,longitude,name_mm,road,township
687,Gate Haung,16.852311,96.2297,ဂိတ်ဟောင်း,Si Pin Road,South Dagon
688,Gate Haung,16.852381,96.229623,ဂိတ်ဟောင်း,Si Pin Road,South Dagon
691,Kone Padaythar,16.849757,96.227478,ကုန်ပဒေသာ,Si Pin Road,South Dagon
692,Kone Padaythar,16.849945,96.227552,ကုန်ပဒေသာ,Si Pin Road,South Dagon
693,Myo Oo Kyaung,16.86174,96.230188,မြို့ဦးကျောင်း,Maungmakan Kantha Road,South Dagon
694,Myo Oo Kyaung,16.86177,96.230231,မြို့ဦးကျောင်း,Maungmakan Kantha Road,South Dagon
695,Pan Chan,16.851407,96.21852,ပန်းခြံ,Pyi Htaung Su Main Road,South Dagon
696,Pan Chan,16.851441,96.218557,ပန်းခြံ,Pyi Htaung Su Main Road,South Dagon
701,Yauk Kaw,16.848306,96.22216,ယောက်ကော်,Pyi Htaung Su Main Road,South Dagon
702,Yauk Kaw,16.848346,96.222224,ယောက်ကော်,Pyi Htaung Su Main Road,South Dagon
703,Hnit-sae Zay,16.849593,96.236215,(၂၀) ဈေး,Hlawga Road,Shwe Pyithar
704,Hnit-sae Zay,16.849672,96.236186,(၂၀) ဈေး,Hlawga Road,Shwe Pyithar
705,Kar Lay Gate,16.851637,96.237986,ကားလေးဂိတ်,Hlawga Road,South Dagon
706,Kone Taik,16.848083,96.234927,ကုန်တိုက်,Hlawga Road,South Dagon
707,Kone Taik,16.848127,96.234885,ကုန်တိုက်,Hlawga Road,South Dagon
710,Thapyay Nyo,16.86016,96.232161,သပြေညို,Maungmakan Kantha Road,South Dagon
711,Thapyay Nyo,16.86016,96.232276,သပြေညို,Maungmakan Kantha Road,South Dagon
712,Kyan Mar Yae,16.856131,96.232983,ကျန်းမာရေး,Si Pin Road,South Dagon
713,Kyan Mar Yae,16.856348,96.233078,ကျန်းမာရေး,Si Pin Road,South Dagon
714,Kyaung Shae,16.854354,96.231346,ကျောင်းရှေ့,Si Pin Road,South Dagon
715,Kyaung Shae,16.854294,96.231405,ကျောင်းရှေ့,Si Pin Road,South Dagon
716,Ngar-sae Lay Tha Ma,16.859733,96.245185,(၅၄) သမ,Hlawga Road,Shwe Pyithar
717,Ngar-sae Lay Tha Ma,16.859781,96.245114,(၅၄) သမ,Hlawga Road,Shwe Pyithar
718,Phone Gyi Kyaung Kwae,16.85421,96.240124,ဘုန်းကြီးကျောင်းကွေ့,Hlawga Road,South Dagon
719,Phone Gyi Kyaung Kwae,16.854238,96.240262,ဘုန်းကြီးကျောင်းကွေ့,Hlawga Road,South Dagon
720,Sae-shit Kwae,16.858028,96.234522,(၁၈) ကွေ့,Si Pin Road,South Dagon
721,Sae-shit Kwae,16.858007,96.234595,(၁၈) ကွေ့,Si Pin Road,South Dagon
724,Tadar Htate,16.856039,96.237464,တံတားထိပ်,Maungmakan Kantha Road,South Dagon
729,Awaiyar,16.850523,96.244283,အဝေရာ,Maungmakan Kantha Road,South Dagon
730,Awaiyar,16.850563,96.24438,အဝေရာ,Maungmakan Kantha Road,South Dagon
731,Ayar Wun,16.849184,96.245913,ဧရာဝဏ်,Maungmakan Kantha Road,South Dagon
732,Ayar Wun,16.84925,96.245988,ဧရာဝဏ်,Maungmakan Kantha Road,South Dagon
733,Kun Yar Saing,16.863385,96.248403,ကွမ်းယာဆိုင်,Hlawga Road,Shwe Pyithar
734,Kun Yar Saing,16.863655,96.24854,ကွမ်းယာဆိုင်,Hlawga Road,Shwe Pyithar
735,Ngar-sae-chauk,16.861109,96.246373,(၅၆),Hlawga Road,Shwe Pyithar
736,Ngar-sae-chauk,16.86127,96.246447,(၅၆),Hlawga Road,Shwe Pyithar
739,(Khun-Hnit-Sal/ Khun-Hnit-Sae Tit) Zay,16.870673,96.25488,(၇၀/၇၁) ဈေး,Hlawga Road,Shwe Pyithar
740,(Khun-Hnit-Sal/ Khun-Hnit-Sae Tit) Zay,16.870692,96.254836,(၇၀/၇၁) ဈေး,Hlawga Road,Shwe Pyithar
741,Ah Kyaw Tae,16.877069,96.247142,အကြော်တဲ,Kyansitthar Road,South Dagon
742,Ah Kyaw Tae,16.877428,96.247206,အကြော်တဲ,Kyansitthar Road,South Dagon
743,Kar Gyi Gate,16.86709,96.251711,ကားကြီးဂိတ်,Hlawga Road,Shwe Pyithar
744,Kar Gyi Gate,16.867169,96.251664,ကားကြီးဂိတ်,Hlawga Road,Shwe Pyithar
745,Kyauk Lan,16.883455,96.234203,ကျောက်လမ်း,No. 2 Main Road,South Dagon
746,Kyauk Lan,16.883578,96.234031,ကျောက်လမ်း,No. 2 Main Road,South Dagon
747,Kyaung Shae,16.875457,96.248816,ကျောင်းရှေ့,Kyansitthar Road,South Dagon
748,Kyaung Shae,16.875652,96.248869,ကျောင်းရှေ့,Kyansitthar Road,South Dagon
757,Say Yon Shae,16.891062,96.239909,ဆေးရုံရှေ့,No. 2 Main Road,South Dagon
758,Say Yon Shae,16.891247,96.23963,ဆေးရုံရှေ့,No. 2 Main Road,South Dagon
761,U Tun Myat,16.893594,96.241781,ဦးထွန်းမြတ်,No. 2 Main Road,South Dagon
762,U Tun Myat,16.893779,96.241561,ဦးထွန်းမြတ်,No. 2 Main Road,South Dagon
763,War Saing Kwae,16.874348,96.250189,ဝါးဆိုင်ကွေ့,Kyansitthar Road,South Dagon
764,War Saing Kwae,16.874574,96.250157,ဝါးဆိုင်ကွေ့,Kyansitthar Road,South Dagon
765,Yone Shae,16.872617,96.256527,ရုံးရှေ့,Hlawga Road,Shwe Pyithar
766,Yone Shae,16.872634,96.256658,ရုံးရှေ့,Hlawga Road,Shwe Pyithar
771,Mya Nandar,16.835173,96.254615,မြနန္ဒာ,Bago River Road,Dagon Seikkan
772,Mya Nandar,16.835048,96.255477,မြနန္ဒာ,Bago River Road,Dagon Seikkan
773,Yadanar Lan,16.836588,96.249945,ရတနာလမ်း,Bago River Road,Dagon Seikkan
774,Yadanar Lan,16.836612,96.249448,ရတနာလမ်း,Bago River Road,Dagon Seikkan
779,Ma Wa Ta Yone Shae/Oh Eain,16.8324,96.264848,မဝတရုံးရှေ့/အိုးအိမ်,Bago River Road,Dagon Seikkan
780,Ma Wa Ta Yone Shae/Oh Eain,16.832435,96.265106,မဝတရုံးရှေ့/အိုးအိမ်,Bago River Road,Dagon Seikkan
781,(Moke Oo Yuzana Garden),16.832075,96.270439,မုခ်ဦး (ယုဇနဥယျာဉ်),Bago River Road,Dagon Seikkan
782,(Moke Oo Yuzana Garden),16.832331,96.270191,မုခ်ဦး (ယုဇနဥယျာဉ်),Bago River Road,Dagon Seikkan
787,Shit-sae-koe Kwae,16.842434,96.279679,(၈၉) ကွေ့,Kun At Min Thar Road,Dagon Seikkan
788,Shit-sae-koe Kwae,16.842396,96.279742,(၈၉) ကွေ့,Kun At Min Thar Road,Dagon Seikkan
789,Padauk Kwae,16.827115,96.269269,ပိတောက်ကွေ့,Kyun Shwe Wah Road,Dagon Seikkan
790,Padauk Kwae,16.827136,96.269229,ပိတောက်ကွေ့,Kyun Shwe Wah Road,Dagon Seikkan
791,Sae-Tit Lan,16.823557,96.267862,(၁၁) လမ်း,Kyun Shwe Wah Road,Dagon Seikkan
792,Sae-Tit Lan,16.823533,96.267919,(၁၁) လမ်း,Kyun Shwe Wah Road,Dagon Seikkan
795,Nwe Thar Gi,16.909648,96.156563,နွယ်သာဂီ,Khaymarthi Road,North Okkalapa
796,Nwe Thar Gi,16.909884,96.156803,နွယ်သာဂီ,Khaymarthi Road,North Okkalapa
797,May Dar Wi,16.899142,96.154958,မေဓာဝီ,Khaymarthi Road,North Okkalapa
798,May Dar Wi,16.899902,96.154726,မေဓာဝီ,Khaymarthi Road,North Okkalapa
799,Mya Yadanar,16.908166,96.155219,မြရတနာ,Khaymarthi Road,North Okkalapa
800,Mya Yadanar,16.908164,96.155368,မြရတနာ,Khaymarthi Road,North Okkalapa
801,Oakkar,16.902636,96.154599,ဥက္ကာ,Khaymarthi Road,North Okkalapa
802,Oakkar,16.903042,96.154502,ဥက္ကာ,Khaymarthi Road,North Okkalapa
805,Yoke Shin Yon,16.911175,96.160079,ရုပ်ရှင်ရုံ,Khaymarthi Road,North Okkalapa
806,Yoke Shin Yon,16.911247,96.160115,ရုပ်ရှင်ရုံ,Khaymarthi Road,North Okkalapa
807,Yone,16.906181,96.154698,ရုံး,Khaymarthi Road,North Okkalapa
808,Yone,16.906204,96.154612,ရုံး,Khaymarthi Road,North Okkalapa
809,Dhamar Yon,16.924184,96.157897,ဓမ္မာရုံ,Thudhamar Road,North Okkalapa
810,Dhamar Yon,16.924162,96.158154,ဓမ္မာရုံ,Thudhamar Road,North Okkalapa
812,Aung Mingalar A Way Pyay,16.926507,96.156078,အောင်မင်္ဂလာအဝေးပြေး,Thudhamar Road,North Okkalapa
813,Aung Mingalar A Way Pyay,16.926474,96.156261,အောင်မင်္ဂလာအဝေးပြေး,Thudhamar Road,North Okkalapa
814,Tat Htate,16.929566,96.154652,တပ်ထိပ်,Thudhamar Road,North Okkalapa
815,Tat Htate,16.930007,96.154865,တပ်ထိပ်,Thudhamar Road,North Okkalapa
