id,route_number,route_name,description,color
7A,7A,Chauk-Sae-Hnit – Sule Pan Chan,(၇ စက်မှုဇုံ (၂)) တောင်ဒဂုံ (၇၀/၇၂)ရပ်ကွက် - မဟာဗန္ဓုလလမ်း,DF504E
7B,7B,Chauk-Sae-Hnit – Sule Pan Chan,(၇ မောင်မကန်လမ်း) တောင်ဒဂုံ (၇၀/၇၂)ရပ်ကွက် - မဟာဗန္ဓုလလမ်း,DF504E
80-KhineShweWar,80-KhineShweWar,(Moke Oo Yuzana Garden) – White Taw,(၈၀ ခိုင်ရွှေဝါ) သခင်မြပန်းခြံ - ခိုင်ရွှေဝါ - ရတနာနှင်းဆီအိမ်ယာ,DF504E
80-Mini,80-Mini,Anawmar – Youk Lan,(၈၀ မီနီ) အထက်ပန်းဆိုးတန်း - သာကေတ,DF504E
80-MyinThawTar,80-MyinThawTar,(Moke Oo Yuzana Garden) – White Taw,(၈၀ မြင်တော်သာ) သခင်မြပန်းခြံ - မြင်တော်သာ - ရတနာနှင်းဆီအိမ်ယာ,DF504E
87-MaWaTa,87-MaWaTa,Dagon Takke Tho – Sule Myodaw Khan Ma,(၈၇ မဝတ) ဒဂုံတက္ကသိုလ် - ဆူးလေ,DF504E
87-MaharMyaing,87-MaharMyaing,Dagon Takke Tho – Sule Myodaw Khan Ma,(၈၇ မဟာမြိုင်) ဒဂုံတက္ကသိုလ် - ဆူးလေ,DF504E
89-MinNanda,89-MinNanda,Shit Gate – Kyee Myin Daing Nya Zay,(၈၉ မင်းနန္ဒ) ဧရာဝဏ် - ပန်းပင်ကြီး,DF504E
89-MyinTawThar,89-MyinTawThar,Shit Gate – Kyee Myin Daing Nya Zay,(၈၉ မြင်တော်သာ) ဧရာဝဏ် - ပန်းပင်ကြီး,DF504E
92-KhayMarThi,92-KhayMarThi,Htauk Kyant Lan Sone – Zawana,(၉၂ ခေမာသီလမ်း) အမှတ်(၃)လမ်းဆုံ - ဇဝန,405CAA
92-Thudhamma,92-Thudhamma,Htauk Kyant Lan Sone – Zawana,(၉၂ သုဓမ္မာလမ်း) အမှတ်(၃)လမ်းဆုံ - ဇဝန,405CAA
APS-Kabaraye,APS-Kabaraye,Yangon Intl. Airport Terminal 1 – Lan Thone Sae,Airport Shuttle Bus လေဆိပ် - ကမ္ဘာအေး - ဆူးလေ - ပြည်လမ်း,808080
APS-Pyay,APS-Pyay,Yangon Intl. Airport Terminal 1 – Sule Myodaw Khan Ma,Airport Shuttle Bus လေဆိပ် - ပြည်လမ်း - ဆူးလေ - ကမ္ဘာအေး,808080
